gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
ASGR1	GCST90240343	Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT	2586	1.0684540399145683e-05	2.2251133999801985e-06	0.19012706177557942	0.0388239541686534	0.7710360744019679
MXRA8	GCST90241896	Hernia	K11_HERNIA	2795	1.1061182060333267e-08	1.1449337309410108e-06	0.002585802679854601	0.2669237897915862	0.7304892515336455
SERPING1	GCST90242274	Obesity due to excess calories	E4_OBESITYCAL	1617	1.4072090493215402e-112	0.010025467968186725	3.8848448674811635e-111	0.27605652913917095	0.7139180028926638
ANXA2	GCST90240298	Hypertension	I9_HYPTENS	2143	0.03907493289729236	0.06685818758491514	0.06781657335620572	0.11532492795859298	0.710925378202994
ASGR1	GCST90240343	Metabolic disorders	E4_METABOLIA	2586	0.0010476497614192656	0.00021817873633632926	0.2628264474773672	0.054053176469580695	0.6818545475552963
CFH	GCST90240779	Moderate visual impairment, binocular	H7_MODVISIMPBINOC	2036	2.713423262803604e-62	3.615579515510468e-18	2.55207432857988e-45	0.33939794284305	0.6606020571569452
IL6ST	GCST90241649	Other (seronegative) rheumatoid arthritis, wide	RHEUMA_OTHER_WIDE	1328	0.04934440842188851	0.3594445525913097	0.003254268823720771	0.023140589127568483	0.5648161810355126
SERPING1	GCST90242274	Obesity	E4_OBESITY	1617	3.6103304753344e-113	0.0025721304558469302	6.201813822306236e-111	0.4412835798804444	0.5561442896637342
SWAP70	GCST90242931	Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC	3220	8.151449834497331e-22	0.0002128899252984184	1.726744223130079e-18	0.45042126654128406	0.5493658435334144
IL6ST	GCST90241649	Other/unspecified rheumatoid arthritis	RHEUMA_NOS	1328	0.05458720547878942	0.3976351987600222	0.0029125021751858515	0.020691665909785804	0.524173427676217
PILRA	GCST90242193	Statin medication	RX_STATIN	1053	0.04333156765589748	0.004219517784086186	0.460212072749647	0.04436641002164449	0.4478704317887248
SWAP70	GCST90242931	Pregnancy hypertension	O15_HYPTENSPREG	3220	6.257857042652135e-20	0.016343530848957843	2.1772220661480568e-18	0.568205656390452	0.4154508127605907
IL4	GCST90241639	Childhood allergy (age < 16)	CHILDHOOD_ALLERGY	1049	0.12237057372730148	0.010355084268356662	0.42949538725949254	0.03594236604496215	0.40183658869988714
ERBB3	GCST90242599	Other retinal disorders	H7_RETINALDISOTH	961	3.453152961886019e-05	0.05772209262258235	0.0003330158331749835	0.5562757986122403	0.38563456140238406
ANXA2	GCST90240299	Hypertension, essential	I9_HYPTENSESS	2143	0.16069420391728467	0.3316512217495286	0.04453154679468797	0.09153553510955798	0.3715874924289408
SPINK8	GCST90242766	Antihypertensive medication - note that there are other indications	RX_ANTIHYP	1344	1.055699120644433e-08	2.0441712419627843e-09	0.5291566775228973	0.10209291140765152	0.36875039846828783
IL4	GCST90241639	Allergic rhinitis	ALLERG_RHINITIS	1049	0.020234490835392326	0.001712256887793206	0.5629404867431305	0.047268576894792635	0.3678441886388911
CD84	GCST90242830	Other diseases of anus and rectum	K11_OTHANRECT	2756	0.024092050965633625	0.005772129677114509	0.5300930159897201	0.12668976652279917	0.3133530368447325
TNFRSF1A	GCST90243170	Vitamin B12 deficiency anaemia	D3_ANAEMIA_B12_DEF	2633	0.00885079418232929	0.2101997618514293	0.019920660283275927	0.4728126108498824	0.2882161728330836
CFH	GCST90240779	Degenerative macular diseases	MACULA_NAS	2036	8.969873336782349e-47	0.011952167852974269	5.3690626230584096e-45	0.7151434150171545	0.2729044171298745
IL18R1	GCST90241608	Carcinoma in situ of skin (controls excluding all cancers)	CD2_INSITU_SKIN_EXALLC	1191	1.0589916746063156e-111	0.4437870564991494	7.320587744668033e-112	0.30653101946887656	0.24968192403196407
IL18R1	GCST90241607	Carcinoma in situ of skin (controls excluding all cancers)	CD2_INSITU_SKIN_EXALLC	1191	6.780146147093733e-249	0.4438878073152211	4.686973087859413e-249	0.30660083696711615	0.24951135571762612
SPINK8	GCST90242766	Type 2 diabetes, wide definition	T2D_WIDE	1344	0.01506610747066247	0.0029172804085551302	0.6203420660680418	0.11987627200169057	0.24179827405105062
TNFRSF14	GCST90243162	Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE	2695	2.6913407632532595e-05	7.458142259617448e-06	0.5999220782287995	0.16601411964093485	0.23402943058037412
TNFRSF14	GCST90243162	Autoimmune diseases	AUTOIMMUNE	2695	2.6578165953942708e-15	7.365241347016039e-16	0.6003421359388802	0.16613102704662222	0.2335268370144945
TNFRSF14	GCST90243162	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	2695	2.8611670774978534e-10	7.928758551822528e-11	0.601192530313648	0.16636777227606192	0.2324396970448861
TNFRSF14	GCST90243162	Suggestive for eosinophilic asthma	ASTHMA_EOSINOPHIL_SUGG	2695	0.001496306567838234	0.00041465084612502976	0.6033126485352761	0.16695991467822452	0.2278164793725362
TNFRSF14	GCST90243162	Seropositive rheumatoid arthritis, strict definition	RHEUMA_SEROPOS_STRICT	2695	2.575774344313188e-06	7.137888947715117e-07	0.606560333528117	0.16786214316944004	0.22557423373920424
TNFRSF14	GCST90243162	Rheumatoid arthritis	M13_RHEUMA	2695	0.0011295109457216516	0.00031300582341733024	0.6068029756714141	0.16793113410752	0.2238233734519266
