gene_symbol	disease	disease_category	immune_class	OR	FDR	PP_H4	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	p_known	p_mhc
LTBP3	Obesity	Metabolic	Cytokine/Interleukin	1.127322097167107	0.0010268261551648	0.9473317069552676	1	1	0	NOVEL colocalized	2.545032322470175	0.5977006155149072	0.9473317069552676	0.0	0.5	0.5	0.0	0.0
LPL	Coronary heart disease	Cardiovascular	Immune-cell-enriched	0.9316830096525952	0.0023056521538664	3.791162104921719e-06	1	3	1	novel nomination	2.527445033697111	0.5274412425350063	3.791162104921719e-06	0.0	1.5	0.5	0.0	0.0
KIAA0319	Ankylosing spondylitis	Autoimmune	Immune-cell-enriched	0.6475203748690394	7.818706114387967e-06		1	2	0	novel nomination	2.5213730221213932	1.0213730221213932	0.0	0.0	1.0	0.5	0.0	0.0
PLAU	Sjogren syndrome	Autoimmune	Immune-cell-enriched	1.6562031611902714	0.002226241048356	0.9772632816690164	1	1	0	NOVEL colocalized	2.5077488444308966	0.5304855627618801	0.9772632816690164	0.0	0.5	0.5	0.0	0.0
CDKN1A	Heart failure	Cardiovascular	Immune-cell-enriched	1.4800683450158931	3.3346146686789313e-14		1	0	0	novel nomination	2.5	2.0	0.0	0.0	0.0	0.5	0.0	0.0
IL1RL1	Coeliac disease	Autoimmune	Cytokine/Interleukin	0.7121080698308815	0.0443392728593514	0.7188025395401767	1	2	0	novel nomination	2.4894448262128126	0.2706422866726357	0.7188025395401767	0.0	1.0	0.5	0.0	0.0
CD226	Type 1 diabetes	Metabolic	CD/Leukocyte surface	0.8017598821443859	0.0409863144737823	0.7039276317776381	2	1	0	novel nomination	2.481399858193191	0.2774722264155528	0.7039276317776381	0.5	0.5	0.5	0.0	0.0
PILRA	Dementia	Neuro/Aging	Immune-cell-enriched	1.55180149240283	0.0168879963903021	0.5989808734973336	1	2	0	novel nomination	2.453465248002928	0.35448437450559456	0.5989808734973336	0.0	1.0	0.5	0.0	0.0
TSPAN15	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.7318646631299554	5.469846078904369e-08	6.584747121739462e-30	1	1	0	novel nomination	2.4524049789023454	1.4524049789023452	6.584747121739462e-30	0.0	0.5	0.5	0.0	0.0
TEX101	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	1.4732948698958162	1.90303760042823e-05	5.441429119862999e-43	1	2	0	novel nomination	2.444110526157922	0.9441105261579217	5.441429119862999e-43	0.0	1.0	0.5	0.0	0.0
SWAP70	Rheumatoid arthritis	Autoimmune	Immune-cell-enriched	0.8293131115972837	0.0041256713681346	0.9660752635970076	2	0	0	NOVEL colocalized	2.4429763373712725	0.476901073774265	0.9660752635970076	0.5	0.0	0.5	0.0	0.0
SCARB1	Coronary heart disease	Cardiovascular	Immune-cell-enriched	0.9072242638039276	0.0037890983792303	0.955567799016398	1	1	0	NOVEL colocalized	2.4398606227488266	0.4842928237324286	0.955567799016398	0.0	0.5	0.5	0.0	0.0
FES	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	0.878125773021931	2.194601009134281e-05	0.9908787169742403	1	0	0	NOVEL colocalized	2.422607602061524	0.9317288850872837	0.9908787169742403	0.0	0.0	0.5	0.0	0.0
CRIM1	Dementia	Neuro/Aging	Immune-cell-enriched	1.2773466170308592	0.0315021171172835	0.6156493080704599	2	1	0	novel nomination	2.415981359715988	0.300332051645528	0.6156493080704599	0.5	0.5	0.5	0.0	0.0
