gene_symbol	disease	immune_class	chr	OR	OR_l95	OR_u95	MR_p	FDR	PP_H4	nsnp	evidence_tier	claim_label	allowed_language	pQTL_OR	pQTL_MR_p	pQTL_FDR	pQTL_PPH4	dir
HAVCR1	Coeliac disease	Immune-cell-enriched	5	2.414271024768988	1.5991115006945622	3.644964455891564	2.745954418599629e-05	0.0111927573037108	0.9123792884754937	6291.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.0825559313050142	0.1413199480525842	0.6219375235496534	0.0229459327791851	concordant
NUMB	Rheumatoid arthritis	Immune-cell-enriched	14	0.7193194403952133	0.6156844910486744	0.840398718585843	3.315219607757043e-05	0.0120853568117776	0.9025751114062138	5646.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
TNFRSF1A	Ankylosing spondylitis	TNF superfamily	12	1.4604796934690565	1.2158139302013475	1.7543810628014678	5.1448533467873045e-05	0.0180049287724168	0.8592172926938795	5382.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.5648985037315444	0.0326548025939739	0.4480964578173086	0.0435977979493565	concordant
CD226	Sarcoidosis	CD/Leukocyte surface	18	0.8056068854711766	0.7224481910027563	0.8983377105806796	0.0001007908141813	0.0309394027354561	0.8036050546880004	6361.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.2701494010002927	0.5686097480969918	0.8895776038404954	0.010056133201374	DISCORDANT
SIGLEC7	Guillain-Barre	Immune-cell-enriched	19	3.0533665432002017	1.7384906324162128	5.362725040500716	0.0001025537409221	0.0309394027354561	0.947669118664208	6843.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.2103332044817958	0.6804142298296247	0.9234193119116336	0.0595739943633753	concordant
SIGLEC9	Guillain-Barre	Immune-cell-enriched	19	2.9426871908214847	1.7069793515861404	5.072942385025597	0.0001025537409221	0.0309394027354561	0.947765099372724	6809.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.0372017367062554	0.541066855363284	0.8895776038404954	0.0251888573298238	concordant
HNMT	Crohn's disease	Immune-cell-enriched	2	0.6415181114658792	0.5119179870843293	0.8039285544208735	0.0001154999985993	0.0336836495915189	0.925597686868574	5477.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
IL4	Psoriasis	Cytokine/Interleukin	5	1.7955955190555564	1.4822038448073327	2.175249564591092	2.2131575048631887e-09	3.1060109804865624e-06	4.305775456975156e-06	4756.0	3	genetically-supported nomination	genetically supported; colocalization pending/absent	1.010566673062956	0.9438590429472562	0.9959572788233544	0.023002206363789	concordant
ANXA11	Sarcoidosis	Immune-cell-enriched	10	0.7251670635232493	0.6339218705009846	0.8295458706975084	2.816866211469816e-06	0.0024644762484149	1.4036874810500105e-18	6924.0	3	genetically-supported nomination	genetically supported; colocalization pending/absent					no pQTL
TNFRSF14	Multiple sclerosis	TNF superfamily	1	0.7302166192022661	0.6350942863227397	0.8395860621681291	1.0080983055065548e-05	0.0058799013832512	0.0359298748437962	6039.0	3	genetically-supported nomination	genetically supported; colocalization pending/absent	1.255235965375313	0.2506561107651226	0.681792320226866	0.1915093420649921	DISCORDANT
LTBR	Sarcoidosis	Cytokine/Interleukin	12	1.391202658282484	1.1978575371711326	1.615755443659025	1.527016051249426e-05	0.0083499146452382	0.7926753978617789	5373.0	3	genetically-supported nomination (suggestive coloc)	genetically supported; suggestive colocalization	1.1525476271882114	0.3994026957255419	0.8153096350761061	0.0193390624498069	concordant
