gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL2RA	Lichen simplex chronicus and prurigo	L12_LICHSIMPANDPRURIGO	8103	5.0731042336289724e-51	0.004170235577098753	4.4638160706478577e-51	0.002676229890322651	0.9931535345325804
FES	Calcific aortic valvular stenosis, operated	I9_CAVS_OPERATED	5936	0.0	0.003574630043772483	0.0	0.003329401181306811	0.9930959687750264
PSRC1	Abdominal aortic aneurysm (AAA)	I9_ABAORTANEUR	4665	0.0	0.00016386383613430748	0.0	0.006811561377794587	0.9930245747861516
PSRC1	Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT	4665	0.0	5.938758229461289e-53	0.0	0.006984374250825185	0.993015625749103
CLINT1	Immunodeficiencies	D3_IMMUDEF	6144	8.507477154548957e-13	0.00422914933129266	7.680524156095097e-13	0.002825117249138347	0.9929457334179494
MAPT	Benign neoplasm: Cerebral meninges	CD2_BENIGN_MENINGES_CEREBRAL	1982	2.717233836356956e-07	0.0034864523481607243	3.5916235184672934e-07	0.003615474528596643	0.9928974422375076
PSRC1	Coronary revascularization (ANGIO or CABG)	I9_REVASC	4665	0.0	6.2980374861971e-24	0.0	0.007341708326793087	0.9926582916732041
SCARB1	Coronary artery bypass grafting	I9_CABG	6498	0.0	3.27145253258542e-09	0.0	0.007398295785719349	0.992601700942824
ACE	Unspecific neurodegenerative disorder	G6_NEURODEGENERATIVE	3675	2.4741416170903353e-16	1.993343259580333e-05	1.1005904739695448e-13	0.007875029275842755	0.992105037291454
FES	Other heart diseases	FG_OTHHEART	5936	0.0	0.00010221065559644893	0.0	0.007968554230629634	0.9919292351137343
PSRC1	Pure hypercholesterolaemia	E4_HYPERCHOL	4665	0.0	7.313972064572972e-37	0.0	0.00809995117811812	0.9919000488218945
PSRC1	Unstable angina pectoris	I9_UAP	4665	0.0	0.0002748854660695572	0.0	0.00792327362816469	0.9918018409057344
IL6ST	Idiopathic pulmonary fibrosis	IPF	5824	3.0040528047610165e-32	0.004308259817654114	3.519499185619216e-32	0.004055850924435413	0.9916358892579095
LCN2	Statin medication	RX_STATIN	3422	7.969231486317413e-37	4.502796207240482e-05	1.6922371725967204e-34	0.008570138301339219	0.9913848337365825
