gene_symbol	disease	fin_OR	fin_FDR	uk_OR	uk_p	uk_FDR	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated	uk_id	uk_label	uk_caveat
ANXA2	Hypertension	1.1095830136652372	0.0002750662942252	1.0103353437745248	0.003364301459683583	0.09954640783997586	risk	risk	True	True	False	ieu-b-5144	Tang UKB, hypertension	
ARG1	Type 2 diabetes	0.922169312756154	3.247529686596671e-09	0.9989195331168524	0.0038092040181414433	0.11024715475582446	protective	protective	True	True	False	ukb-b-13806	UKB, T2D (self-report)	self-report
MAPT	Hypertension	1.5741270163303778	0.0010268261551648	1.0542764502965738	0.005666137451316278	0.15791734933761106	risk	risk	True	True	False	ieu-b-5144	Tang UKB, hypertension	
PFKFB2	Atrial fibrillation	0.5606971049270295	0.0006512810502508	0.9914603957914946	0.007456002233471315	0.18432704138833306	protective	protective	True	True	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
ANPEP	Type 2 diabetes	1.048103391096572	2.3806320706054373e-06	1.0005838591442744	0.00851476231538495	0.19714949668699	risk	risk	True	True	False	ukb-b-13806	UKB, T2D (self-report)	self-report
ANPEP	Coronary heart disease	1.0406550991706236	0.0065151867679505	1.0012722316365257	0.013462837185927556	0.24709231664415818	risk	risk	True	True	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
DENR	Atrial fibrillation	1.2341789500838978	0.002255868825721	1.0029331407830362	0.019279089250757053	0.29912401363288005	risk	risk	True	True	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
IL4	Psoriasis	1.7955955190555564	1.6181736097945674e-06	1.0053949877183124	0.021697389530572986	0.31492971088511273	risk	risk	True	True	False	ukb-b-10537	UKB, psoriasis (self-report)	self-report
PM20D1	Type 2 diabetes	1.0635449479173618	0.0402253282954766	1.0011343970084454	0.021762584672459617	0.31492971088511273	risk	risk	True	True	False	ukb-b-13806	UKB, T2D (self-report)	self-report
PLAUR	Coronary heart disease	1.5867849949293351	8.119212459425118e-07	1.009517112088651	0.025172064217889645	0.322570981294308	risk	risk	True	True	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
TGFB2	Atrial fibrillation	1.853451991987692	0.0100492198756967	1.0100550522219656	0.025837256576767054	0.32404225956695343	risk	risk	True	True	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
SPON2	Glaucoma	1.272214258130565	0.0046759749953051	1.00219268415256	0.027894988695189138	0.33573553305913273	risk	risk	True	True	False	ukb-d-H40	Neale UKB, glaucoma (ICD H40)	
SWAP70	Rheumatoid arthritis	0.8293131115972837	0.0041256713681346	0.9988304207634789	0.028108091139834368	0.33573553305913273	protective	protective	True	True	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
MYL4	Hypertension	1.6566342513940038	0.0010548098707932	1.048127166731221	0.028615603338935758	0.3391061655519552	risk	risk	True	True	False	ieu-b-5144	Tang UKB, hypertension	
LTBP2	Glaucoma	0.6674232931893709	2.281108233734189e-07	0.9975901775793105	0.033653168835234615	0.3658850592465268	protective	protective	True	True	False	ukb-d-H40	Neale UKB, glaucoma (ICD H40)	
ACE	Atrial fibrillation	1.7242700415098282	0.0012627610870002	1.0065787659787957	0.036685834369509784	0.37816562141172755	risk	risk	True	True	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
CA8	Rheumatoid arthritis	0.746217049064143	0.001181574898891	0.9982460675962678	0.04320354429697559	0.39957547054300596	protective	protective	True	True	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
IFNGR2	Hypertension	1.0664311640761612	3.70299009302803e-06	1.0044350986995663	0.044978860359651485	0.4053484122232065	risk	risk	True	True	False	ieu-b-5144	Tang UKB, hypertension	
PIK3IP1	Hypertension	1.0484890304176304	0.0036287801965646	1.0037393106233556	0.059820794165272195	0.4553874173678436	risk	risk	True	False	False	ieu-b-5144	Tang UKB, hypertension	
PM20D1	Atrial fibrillation	1.0976354247760896	0.0305225001002795	1.001277840821934	0.060214017313090284	0.4553874173678436	risk	risk	True	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
SEZ6	Osteoporosis	0.1941459348771198	0.0086754434117129	0.9850036758520343	0.06746830503720735	0.47866715142527516	protective	protective	True	False	False	ukb-b-12141	UKB, osteoporosis (self-report)	self-report
CLINT1	Hypertension	1.4368403263327851	0.0009005485913327	1.025174253690752	0.06987888740731663	0.48242075939454826	risk	risk	True	False	False	ieu-b-5144	Tang UKB, hypertension	
EVI2B	Type 2 diabetes	0.774322451553972	0.0005284088001027	0.9972442925380808	0.07888106548095353	0.5051744831865321	protective	protective	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
ADAM15	Atrial fibrillation	0.9299855235794624	0.0009651095797988	0.9993447901538246	0.08536667582750779	0.5308960624809885	protective	protective	True	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
LTBP3	Type 2 diabetes	1.0757284166045944	0.010182537594924	1.0006940876032122	0.09327923857358655	0.5526978506033376	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
SPINK8	Type 2 diabetes	0.8340418525474392	8.440102664676625e-06	0.9986761224425512	0.09845098470374669	0.5612451968906772	protective	protective	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
NOMO1	Type 2 diabetes	1.0969062500032989	0.0002382796778016	1.0007749910397024	0.10967179446703956	0.5853051442301225	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
TNFRSF14	Rheumatoid arthritis	0.8739742552963211	0.0046759749953051	0.9993242324123319	0.11085091031509764	0.5859955156795064	protective	protective	True	False	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
LTBP2	Hypertension	0.86835959147363	0.0100239646098155	0.9906188334467342	0.12590834544163299	0.6197221653878531	protective	protective	True	False	False	ieu-b-5144	Tang UKB, hypertension	
TNFRSF14	Multiple sclerosis	0.7302166192022661	0.0026384172873563	0.9994848386162986	0.12801441179759832	0.6197221653878531	protective	protective	True	False	False	ukb-b-17670	UKB, MS (self-report)	self-report
LDLR	Coronary heart disease	0.6425092545955702	0.0206417010702856	0.990671941566144	0.13565143563056292	0.6379856581999912	protective	protective	True	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
PDLIM7	Venous thromboembolism	0.7184121014283523	0.0048180997702861	0.9967341819672523	0.15034634753052534	0.6505310736840082	protective	protective	True	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
HNMT	Crohn's disease	0.6415181114658792	0.0168879963903021	0.9993574416496992	0.17376953349330893	0.6783394387036688	protective	protective	True	False	False	ukb-a-552	Neale UKB, Crohn (ICD K50)	
TNFSF8	Coeliac disease	0.7603789611279782	0.0183618964692358	0.9993683166838564	0.1783326837238497	0.6783394387036688	protective	protective	True	False	False	ukb-b-8631	UKB, coeliac (self-report)	self-report
NUMB	Coeliac disease	0.5647687861390079	0.0055373746945546	0.9986401579822716	0.18024040257523466	0.6810358456108426	protective	protective	True	False	False	ukb-b-8631	UKB, coeliac (self-report)	self-report
TNFRSF1A	Ankylosing spondylitis	1.4604796934690565	0.0093220785064288	1.0005905513928877	0.1805536893014792	0.6810358456108426	risk	risk	True	False	False	ukb-b-18194	UKB, AS (self-report)	self-report
SCPEP1	Venous thromboembolism	1.2766681509025382	0.010182537594924	1.0022507622683883	0.2037680150943384	0.6901760332429708	risk	risk	True	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
PFKFB2	Heart failure	0.6648552824020466	0.0423195031735599	0.9976069298004164	0.24324355197846326	0.7434186141087792	protective	protective	True	False	False	ukb-d-I9_HEARTFAIL	Neale UKB, heart failure	
IL6ST	Psoriasis	1.578291354919277	0.0252279586907883	1.0022340347180623	0.2524594486257339	0.7535390101027784	risk	risk	True	False	False	ukb-b-10537	UKB, psoriasis (self-report)	self-report
BCL7A	Crohn's disease	0.5728053077443792	0.0275275844220724	0.9993376326586222	0.2731221944557962	0.7651558213177618	protective	protective	True	False	False	ukb-a-552	Neale UKB, Crohn (ICD K50)	
PIK3IP1	Type 2 diabetes	1.0561174416647163	0.0040013774922742	1.0003937898377924	0.2883146819392297	0.7731540690497699	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
