gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL1RN	Hypertension	I9_HYPTENS	4752	4.442851488270853e-43	0.007468179680585925	4.847087039528169e-41	0.8145897140758591	0.17794210624355125
HIP1R	Atrial fibrillation	I9_AF	4637	5.706336994116086e-27	0.006126699080255332	7.6040122838334735e-25	0.8162391865825545	0.1776341143371893
TNFRSF14	Rheumatoid arthritis	M13_RHEUMA	6039	0.0	0.0016787207600006669	0.0	0.9150905888109896	0.08323069042897513
EVI2B	Type 2 diabetes	T2D	4491	2.0565102999222835e-41	0.00021399076943017225	8.864832786442166e-38	0.9223552888786168	0.07743072035195338
PIK3IP1	Type 2 diabetes	T2D	5764	0.0	0.0015738674904978399	0.0	0.9474039392132415	0.05102219329632371
TNFRSF14	Multiple sclerosis	G6_MS	6039	0.0	0.00018981598521476697	0.0	0.9638803091709542	0.03592987484379623
PM20D1	Type 2 diabetes	T2D	3996	0.0	0.01892183049995778	0.0	0.9471876815229712	0.033890487977086534
FES	Coronary heart disease	I9_CHD	5936	0.0	1.3321372790904207e-07	0.0	0.9669925245915201	0.03300734219470217
ADAMTSL4	Hypertension	I9_HYPTENS	3116	1.5636186559095273e-245	0.0009283354351395383	1.653439204125692e-242	0.9816453321908907	0.01742633237394039
MERTK	Type 2 diabetes	T2D	4008	0.0	0.007391302214836353	0.0	0.9816574118766626	0.010951285908596198
MAPRE3	Obesity	E4_OBESITY	3821	1.3947886741226316e-78	1.3477816245399733e-05	1.0296663581962176e-73	0.994959603014288	0.005026919169459394
ANXA11	Glaucoma	H7_GLAUCOMA	6924	8.207212732461573e-275	1.0921776257141864e-06	7.481946254291338e-269	0.9956582017562876	0.004340706066066064
PHOSPHO1	Coronary heart disease	I9_CHD	4699	1.2530831237187754e-84	0.0015416404062508805	8.080768586435804e-82	0.9941547534116248	0.004303606182125247
GDF15	Obesity	E4_OBESITY	5492	8.428733437596389e-92	0.0005374874197433085	1.56151457894862e-88	0.9957502146051502	0.003712297975108152
CD14	Atrial fibrillation	I9_AF	3932	1.0972172492829795e-297	0.0009063617178135337	1.2065770709617924e-294	0.9966965405337919	0.002397097748430707
NGFR	Hypertension	I9_HYPTENS	4859	5.471877564563786e-14	8.285854433634667e-08	6.591622793420524e-07	0.9981423139236398	0.0018569440554820618
