gene_symbol	disease	phenocode	category	disease_system	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	pqtl_concordant	two_population_validated	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	s_protein	s_repl	p_known	p_mhc
TACC3	Arthrosis	M13_ARTHROSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	1.0558053436076724	7.484632782802744e-06	4.412399429946304e-19				False	False	1	0	0	novel nomination	1.5251659005021188	1.0251659005021188	4.412399429946304e-19	0.0	0.0	0.5	0.0	0.0	0.0	0.0
ICAM3	Diverticular disease of intestine	K11_DIVERTIC	XI Diseases of the digestive system (K11_)	Gastrointestinal	Immune-cell-enriched	0.8919712282685418	0.002387967763771	9.002913975532163e-05	1.1257832713212637	0.3955139880922771	0.2025639433706085	False	False	1	1	0	novel nomination	1.5244843371868877	0.5243943080471324	9.002913975532163e-05	0.0	0.5	0.5	0.0	0.0	0.0	0.0
C2	Other predominantly sexually transmitted diseases, not elsewhere classified	AB1_SEXUAL_TRANSMISSION_NOS	I Certain infectious and parasitic diseases (AB1_)	Infection	Complement/Coagulation	2.5260974763423176	7.874059396376363e-06					False	False	11	1	0	MHC-caution	1.5207602627041488	1.0207602627041488	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
C2	Infections with a predominantly sexual mode of transmission	AB1_SEXUAL_TRANSMISSION	I Certain infectious and parasitic diseases (AB1_)	Infection	Complement/Coagulation	1.9459430294534923	8.204585303656605e-06					False	False	11	1	0	MHC-caution	1.5171886730473467	1.0171886730473467	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
CEBPB	Disorders of breast	N14_BREAST	XIV Diseases of the genitourinary system (N14_)	Renal/Genitourinary	Immune-cell-enriched	0.7088568496804917	0.0155778646894951	0.1538225053793583				False	False	2	0	0	novel nomination	1.5153209199382913	0.36149841455893306	0.1538225053793583	0.5	0.0	0.5	0.0	0.0	0.0	0.0
FBN2	Acute appendicitis	K11_APPENDACUT	XI Diseases of the digestive system (K11_)	Gastrointestinal	Immune-cell-enriched	0.954829954915538	0.0493847328928059	0.2494108440281798				False	False	1	1	0	novel nomination	1.5106923021996788	0.2612814581714989	0.2494108440281798	0.0	0.5	0.5	0.0	0.0	0.0	0.0
IL24	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2	XI Diseases of the digestive system (K11_)	Gastrointestinal	Cytokine/Interleukin	1.7637698791270986	0.0029529060247667	2.7351782648544213e-22	0.7348904001819674	0.4792738281505428	0.027342053941229	False	False	2	1	0	novel nomination	1.5059500748179344	0.5059500748179345	2.7351782648544213e-22	0.5	0.5	0.0	0.0	0.0	0.0	0.0
C2	Seronegative rheumatoid arthritis	RHEUMA_SERONEG	Rheuma endpoints	Musculoskeletal	Complement/Coagulation	3.235767834909012	9.514257437695889e-06					False	False	11	1	0	MHC-caution	1.5043250203150262	1.0043250203150262	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
CDKN1A	Heart failure, strict	I9_HEARTFAIL	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	1.4800683450158931	3.2219598714041936e-13					False	False	3	0	0	MHC-caution	1.5	2.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	2.0
CDKN1A	Cardiac arrhythmias	CARDIAC_ARRHYTM	Comorbidities of COPD	Respiratory	Immune-cell-enriched	1.3278349534185807	7.122774775720966e-12					False	False	3	0	0	MHC-caution	1.5	2.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	2.0
