gene_symbol	phenocode	disease	uk_id	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
JMJD1C	D3_ANAEMIA_IRONDEF	Iron deficiency anaemia	ukb-d-D3_ANAEMIA_IRONDEF	2.508823060888506	0.0114143302420887	0.998860916196349	0.8042143266833478	+	-	False	False	False
NOMO1	G6_NERPLEX	Nerve, nerve root and plexus disorders	ukb-d-G6_NERPLEX	1.0909655980828072	0.0130302153620398	1.000751915150175	0.5217341489313176	+	+	True	False	False
FGFR2	M13_FIBROBLASTIC	Fibroblastic disorders	ukb-d-M13_FIBROBLASTIC	0.8548182911259704	0.0130985994497798	0.9992840012359787	0.1869085443471136	-	-	True	False	False
CTLA4	L12_ACTINKERA	Actinic keratosis	ukb-d-L12_ACTINKERA	1.4681018748237653	0.0132116537665319	1.000858879285698	0.37310734241621063	+	+	True	False	False
MAP1LC3A	L12_ACTINKERA	Actinic keratosis	ukb-d-L12_ACTINKERA	0.8916954361982903	0.0481211555051374	0.998890267114807	5.5434146897656126e-05	-	-	True	True	True
SMPD3	L12_ATROPHICSKIN	Atrophic disorders of skin	ukb-d-L12_ATROPHICSKIN	2.144556491139096	0.0133004280019705	0.9981130691850423	0.18869613261645793	+	-	False	False	False
CA8	M13_SOFTOVERUSE	Soft tissue disorders related to use, overuse and pressure	ukb-d-M13_SOFTOVERUSE	0.7299057361971232	0.0195064333599407	0.9997992004943393	0.7833196140686556	-	-	True	False	False
FGFR2	M13_DUPUTRYEN	Palmar fascial fibromatosis [Dupuytren]	ukb-d-M13_DUPUTRYEN	0.8246061003010753	0.0219079128115554	0.9990341915606515	0.06400930042292095	-	-	True	False	False
VAT1	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	0.899448100817927	0.0258866214219995	0.9983106663705118	0.14843200422582423	-	-	True	False	False
TMEM106A	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	0.8458589007567047	0.0276262378130988	0.9971114293748563	0.11830566002645569	-	-	True	False	False
DUSP13	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	1.904789278914735	0.0354887377075775	1.0186340972321586	0.009963876895563276	+	+	True	True	True
LTBP2	M13_HALLUXRIGIDUS	Hallux rigidus	ukb-d-M13_HALLUXRIGIDUS	1.7653771130377065	0.0297573188236247	1.0002176487643462	0.8113141306941033	+	+	True	False	False
LTBP3	G6_CARPTU	Carpal tunnel syndrome	ukb-d-G6_CARPTU	1.1199047202568422	0.0308899424720015	1.0004832148288365	0.5736456420560805	+	+	True	False	False
CD46	M13_DORSALGIA	Dorsalgia	ukb-d-M13_DORSALGIA	0.6812608569589906	0.0329968770846153	1.0018206052375433	0.7565467059466529	-	+	False	False	False
TMEM106A	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	0.8240726809654215	0.0338579059225456	0.9971163024688042	0.005830906410004964	-	-	True	True	True
VAT1	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	0.8855868080911896	0.0358394091735763	0.9981525797690056	0.005196858315019445	-	-	True	True	True
MERTK	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	1.0761155069281636	0.0412838203119931	1.0003991123946032	0.3619503179125452	+	+	True	False	False
CRIM1	G6_SLEEPAPNO	Sleep apnoea	ukb-d-G6_SLEEPAPNO	0.8361071400953787	0.0351659270479638	0.9986551069192365	0.27735843895280793	-	-	True	False	False
NT5E	M13_LOWBACKPAIN	Low back pain	ukb-d-M13_LOWBACKPAIN	0.9450952875271084	0.0372517608001582	1.0003773930407505	0.4250379014421101	-	+	False	False	False
ERBB2	BRONCHITIS	Bronchitis	ukb-d-BRONCHITIS	1.431655840928499	0.0454180451615326	0.9969337234636114	0.4339784750305873	+	-	False	False	False
