gene_symbol	disease	disease_category	OR	direction	FDR	mhc	genetic_strategy	known_drug_dir	status
CD79B	Type 2 diabetes	Metabolic	0.813433330115456	protective (agonise)	0.0250542143483569	False	agonise/replace	-	novel nomination
PACS2	Type 2 diabetes	Metabolic	1.387487383466108	risk (block)	0.038510778045853	False	block/neutralise	-	novel nomination
PF4	Type 2 diabetes	Metabolic	0.7140693785147311	protective (agonise)	0.0402253282954766	False	agonise/replace	-	novel nomination
PM20D1	Type 2 diabetes	Metabolic	1.0635449479173618	risk (block)	0.0402253282954766	False	block/neutralise	-	novel nomination
CD226	Type 1 diabetes	Metabolic	0.8017598821443859	protective (agonise)	0.0409863144737823	False	agonise/replace	-	novel nomination
NRN1	Type 2 diabetes	Metabolic	1.0884674475658291	risk (block)	0.0427806795784465	False	block/neutralise	-	novel nomination
MPO	Type 2 diabetes	Metabolic	1.0745197237685855	risk (block)	0.0432695410517407	False	block/neutralise	-	novel nomination
MERTK	Type 2 diabetes	Metabolic	1.0440200592823037	risk (block)	0.0466114470223556	False	block/neutralise	-	novel nomination
LYPD3	Dementia	Neuro/Aging	0.3549918138470115	protective (agonise)	6.2893731265111856e-18	False	agonise/replace	-	novel nomination
LYPD3	Alzheimer's disease	Neuro/Aging	0.2404317489141367	protective (agonise)	1.5967895998916502e-16	False	agonise/replace	-	novel nomination
LTBP2	Glaucoma	Neuro/Aging	0.6674232931893709	protective (agonise)	2.281108233734189e-07	False	agonise/replace	-	novel nomination
PVR	Dementia	Neuro/Aging	0.5883559376868374	protective (agonise)	2.288849461903128e-07	False	agonise/replace	-	novel nomination
ACE	Dementia	Neuro/Aging	0.4395453890280715	protective (agonise)	3.3625736169060997e-06	False	agonise/replace	-	novel nomination
TEX101	Dementia	Neuro/Aging	1.334027282151228	risk (block)	3.70299009302803e-06	False	block/neutralise	-	novel nomination
TEX101	Alzheimer's disease	Neuro/Aging	1.4732948698958162	risk (block)	1.90303760042823e-05	False	block/neutralise	-	novel nomination
ANXA11	Glaucoma	Neuro/Aging	1.1922062043746104	risk (block)	6.545828178554407e-05	False	block/neutralise	-	novel nomination
RELB	Dementia	Neuro/Aging	0.3709450450168854	protective (agonise)	0.0004974764306812	False	agonise/replace	-	novel nomination
CRISP3	Glaucoma	Neuro/Aging	1.320205869625204	risk (block)	0.0037918629307705	False	block/neutralise	-	novel nomination
SPON2	Glaucoma	Neuro/Aging	1.272214258130565	risk (block)	0.0046759749953051	False	block/neutralise	-	novel nomination
ACE	Alzheimer's disease	Neuro/Aging	0.429980367299715	protective (agonise)	0.0060501015014594	False	agonise/replace	-	novel nomination
RAPGEF2	Dementia	Neuro/Aging	1.1085152246160994	risk (block)	0.0065151867679505	False	block/neutralise	-	novel nomination
PM20D1	Epilepsy	Neuro/Aging	0.8688247894944074	protective (agonise)	0.0071016825880177	False	agonise/replace	-	novel nomination
PVR	Alzheimer's disease	Neuro/Aging	0.6131208119857751	protective (agonise)	0.0086754434117129	False	agonise/replace	-	novel nomination
SEZ6	Osteoporosis	Neuro/Aging	0.1941459348771198	protective (agonise)	0.0086754434117129	False	agonise/replace	-	novel nomination
RAPGEF2	Alzheimer's disease	Neuro/Aging	1.1525479017124547	risk (block)	0.0103893231597417	False	block/neutralise	-	novel nomination
HAVCR2	Dementia	Neuro/Aging	0.8140496555749581	protective (agonise)	0.01236132727695	False	agonise/replace	-	novel nomination
CRIM1	Alzheimer's disease	Neuro/Aging	1.4507399690392742	risk (block)	0.0154414805075911	False	block/neutralise	-	novel nomination
PILRA	Dementia	Neuro/Aging	1.55180149240283	risk (block)	0.0168879963903021	False	block/neutralise	-	novel nomination
SCARF1	Dementia	Neuro/Aging	1.9892701904588983	risk (block)	0.0170296491530536	False	block/neutralise	-	novel nomination
TNFSF13	Glaucoma	Neuro/Aging	0.8996304613374326	protective (agonise)	0.0185452998335878	False	agonise/replace	-	novel nomination
PILRB	Dementia	Neuro/Aging	1.0492520068472584	risk (block)	0.022614420078291	False	block/neutralise	-	novel nomination
HAVCR2	Alzheimer's disease	Neuro/Aging	0.7565394926828077	protective (agonise)	0.0244394305289586	False	agonise/replace	-	novel nomination
EPHB4	Dementia	Neuro/Aging	1.067878096390665	risk (block)	0.0275275844220724	False	block/neutralise	-	novel nomination
CRIM1	Dementia	Neuro/Aging	1.2773466170308592	risk (block)	0.0315021171172835	False	block/neutralise	-	novel nomination
DPEP2	Osteoporosis	Neuro/Aging	0.8037253365658946	protective (agonise)	0.0315021171172835	False	agonise/replace	-	novel nomination
SCARF1	Alzheimer's disease	Neuro/Aging	2.557846857173077	risk (block)	0.0320904681951792	False	block/neutralise	-	novel nomination
LILRB2	Dementia	Neuro/Aging	0.8281129908821212	protective (agonise)	0.0397098379009748	False	agonise/replace	-	novel nomination
PM20D1	Dementia	Neuro/Aging	0.8981727785173355	protective (agonise)	0.0409863144737823	False	agonise/replace	-	novel nomination
RELB	Alzheimer's disease	Neuro/Aging	0.3568883843979301	protective (agonise)	0.0476434773090409	False	agonise/replace	-	novel nomination
AAMDC	Chronic kidney disease	Renal	0.8847875172798205	protective (agonise)	0.0408992724181256	False	agonise/replace	-	novel nomination
