gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IFNGR2	GCST90241556	Vitiligo	L12_VITILIGO	2801	0.6280520376488147	0.1444202988621679	0.1699925040639481	0.03907124006942664	0.018463919355642483
TNFRSF14	GCST90243162	Vitiligo	L12_VITILIGO	2840	0.6133267803820233	0.17410992266510922	0.15168942070348784	0.0430434448178721	0.017830431431507632
SWAP70	GCST90242931	Crohn's disease	CHRONNAS	3179	6.801208903913908e-18	0.7297008050720213	2.3578283493538682e-18	0.25295374675795745	0.0173454481700209
IFNGR2	GCST90241558	Ankylosing spondylitis	M13_ANKYLOSPON	2801	0.4572980187825767	0.08283147290620611	0.3749369001010739	0.06789617103229713	0.01703743717784621
TNFSF14	GCST90243143	Psoriasis	L12_PSORIASIS	3886	0.0887363917839307	0.7700539035775654	0.012849615585301934	0.11149202295379404	0.01686806609940773
CD226	GCST90240640	Vitiligo	L12_VITILIGO	4049	0.5160125383515783	0.2003044503575419	0.19229070466950102	0.07462615634678672	0.016766150274591923
SWAP70	GCST90242931	Systemic lupus erythematosus	SLE_FG	3179	6.960771228849898e-18	0.7468202258411658	2.204282114016337e-18	0.2364804375588641	0.016699336599972903
IFNGR2	GCST90241556	Sarcoidosis	D3_SARCOIDOSIS	2801	0.6734158828392476	0.1548516957643507	0.12614642559165112	0.02899072162354284	0.01659527418120776
CD226	GCST90240639	Sjogren syndrome	M13_SJOGREN	4049	0.5716770962406961	0.1355173084013609	0.22349949762477003	0.052964704281347884	0.016341393451824997
IFNGR2	GCST90241556	Psoriasis	L12_PSORIASIS	2801	0.10200339827076312	0.023455638036569235	0.6977961442852177	0.1604416233155486	0.016303196091901208
HAVCR1	GCST90241394	Rheumatoid arthritis	M13_RHEUMA	3015	8.119120894240701e-50	0.8456927371978883	1.3296762360397137e-50	0.1384840895995048	0.01582317320260904
SIGLEC9	GCST90242813	Sarcoidosis	D3_SARCOIDOSIS	3698	0.0	0.8194737114292537	0.0	0.16477058279776918	0.015755705773061634
CD226	GCST90240640	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	4049	0.5255216726645958	0.20399568221797248	0.18357094954408953	0.07124244061094173	0.015669254962400354
IFNGR2	GCST90241558	Coeliac disease	K11_COELIAC	2801	0.44495407705906265	0.08059558551454617	0.38860553866520814	0.0703735701077644	0.01547122865341866
CD226	GCST90240640	Sjogren syndrome	M13_SJOGREN	4049	0.5101501600629512	0.19802880708607673	0.1994452904218852	0.07740520107303347	0.014970541356053357
CD226	GCST90240640	Guillain-Barre	G6_GUILBAR	4049	0.518152952300792	0.20113531086532033	0.19154418814903085	0.0743383123538685	0.014829236330988246
IL4	GCST90241639	Crohn's disease	CHRONNAS	2132	0.0031495300885478156	0.0004893502675423755	0.8496714784442057	0.1320008670739239	0.014688774125780651
SWAP70	GCST90242931	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	3179	7.77566859204171e-18	0.8342504563153303	1.4081375351087055e-18	0.15106420483163535	0.014685338853033903
HAVCR1	GCST90241394	Sjogren syndrome	M13_SJOGREN	3015	7.881134502551021e-50	0.8209039250068221	1.5790664891180933e-50	0.16446192418532954	0.014634150807854502
CD226	GCST90240639	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	4049	0.5304703124679865	0.1257491500100663	0.26622270612430676	0.06309421225144098	0.014463619146199437
CD226	GCST90240639	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	4049	0.5905264292601736	0.13998558409887982	0.20627788155819246	0.048884298040801084	0.014325807041952895
SIGLEC9	GCST90242813	Crohn's disease	CHRONNAS	3698	0.0	0.7877206213926339	0.0	0.1982513115464254	0.01402806706083155
IFNGR2	GCST90241556	Guillain-Barre	G6_GUILBAR	2801	0.6645067432862548	0.15280304291439775	0.13742904396564018	0.03158807710007099	0.013673092733636144
CD226	GCST90240640	Systemic lupus erythematosus	SLE_FG	4049	0.5614850760905366	0.21795586578101506	0.14912830321010562	0.0578746939080259	0.013556061010316773
IFNGR2	GCST90241558	Vitiligo	L12_VITILIGO	2801	0.6574623577894438	0.11908771356820408	0.17795288579401025	0.032219750257953136	0.013277292590388673
TNFSF14	GCST90243143	Sjogren syndrome	M13_SJOGREN	3886	0.0842445147548678	0.7310734202484397	0.017717079163287998	0.15373548278291924	0.013229503050485116
TNFRSF14	GCST90243162	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2840	0.6372566860660764	0.18090309420318995	0.13138470544436612	0.03728404371061745	0.01317147057575005
IFNGR2	GCST90241557	Sarcoidosis	D3_SARCOIDOSIS	2801	0.6973031235014187	0.13392375016230754	0.13062106021724953	0.02507394880812501	0.013078117310899279
IFNGR2	GCST90241557	Vitiligo	L12_VITILIGO	2801	0.6517720126471178	0.1251790637997327	0.17641270128421488	0.0338689833742544	0.01276723889468013
TNFSF14	GCST90243143	Crohn's disease	CHRONNAS	3886	0.08325105550018684	0.7224521864825331	0.018770591265627988	0.16287843659239876	0.012647730159253325
CD226	GCST90240639	Guillain-Barre	G6_GUILBAR	4049	0.5827546561599471	0.1381432682548927	0.2154253237554198	0.05105442273673662	0.012622329093003884
TNFRSF14	GCST90243162	Guillain-Barre	G6_GUILBAR	2840	0.6277508736847042	0.17820460408091146	0.14134789572214837	0.040112961117976006	0.012583665394260065
LTBR	GCST90243176	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2559	0.6918111661367699	0.10401091482344078	0.1666554080899594	0.02504346440187512	0.012479046547954712
CD226	GCST90240639	Vitiligo	L12_VITILIGO	4049	0.5816086901489071	0.1378716145007773	0.2167349367670588	0.05136507201347306	0.012419686569783716
TNFSF8	GCST90243150	Guillain-Barre	G6_GUILBAR	2993	0.6090460558458054	0.20123729861869488	0.1333162169579635	0.04403717142939882	0.012363257148137586
SIGLEC9	GCST90242813	Multiple sclerosis	G6_MS	3698	0.0	0.816430019903459	0.0	0.1712297032890813	0.012340276807561792
PLAU	GCST90243298	Coeliac disease	K11_COELIAC	2137	0.728147620474385	0.10679025304054142	0.13326357446342812	0.019532191985876187	0.012266360035769246
KIAA0319	GCST90240986	Guillain-Barre	G6_GUILBAR	4217	0.5784802996151733	0.13619434124667945	0.22106377965218854	0.052033859005826084	0.012227720480132705
KIAA0319	GCST90240986	Vitiligo	L12_VITILIGO	4217	0.5690196499703417	0.13396697594659815	0.23059157414905793	0.05427711557075313	0.012144684363249026
SWAP70	GCST90242931	Ankylosing spondylitis	M13_ANKYLOSPON	3179	7.84367358017727e-18	0.8415467025110435	1.3650494389915406e-18	0.14644396469588658	0.012009332793068976
KIAA0319	GCST90240986	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	4217	0.5643053875518614	0.13285707494396068	0.2354899576966256	0.055430592775246604	0.011916987032305511
IFNGR2	GCST90241556	Sjogren syndrome	M13_SJOGREN	2801	0.560688657990407	0.1289301183684413	0.24297117560550102	0.05585956798204394	0.011550480053606692
CD226	GCST90240640	Ankylosing spondylitis	M13_ANKYLOSPON	4049	0.4877418875429148	0.18933042017298635	0.22432537926236124	0.08706652618804733	0.011535786833690283
IL4	GCST90241639	Vitiligo	L12_VITILIGO	2132	0.7047403694193605	0.10949725153516054	0.1508469246473993	0.023425969710434674	0.011489484687644906
CD226	GCST90240639	Multiple sclerosis	G6_MS	4049	0.617241598541347	0.14631847351893634	0.18192942155156377	0.04311537291410231	0.011395133474050561
TNFSF8	GCST90243150	Systemic lupus erythematosus	SLE_FG	2993	0.6324255943360365	0.20896222372668552	0.11081845848628699	0.03660477302620832	0.011188950424782641
CD226	GCST90240640	Multiple sclerosis	G6_MS	4049	0.5502318540252121	0.21358761831992262	0.16217857506463207	0.06294301276134585	0.011058939828887306
