gene_symbol	disease	disease_system	immune_class	OR	FDR	PP_H4	pqtl_p	pqtl_PPH4	n_categories	druggability	category_label	novelty_priority
IL2RA	Crohn's disease of small intestine	Gastrointestinal	Cytokine/Interleukin	2.4456162411777207	0.0130302153620398	0.9952843637892802	0.7059949425893817	0.0151561622939779	4	3	NOVEL colocalized	4.872294045040124
MAPT	Benign neoplasm: Cerebral meninges	Neoplasm	Immune-cell-enriched	8.122590227336294	0.0173917635682519	0.9928974422375076			4	3	NOVEL colocalized	4.844828717681399
IL2RA	Lichen simplex chronicus and prurigo	Dermatological	Cytokine/Interleukin	2.549030447118531	0.0182615298252859	0.9931535345325804	0.2215651922006449	0.012695458709567	4	3	NOVEL colocalized	4.84084610314758
SLC12A2	Female genital prolapse	Renal/Genitourinary	Immune-cell-enriched	1.504668142923306	5.1040810314263096e-05	0.9797555564824008			3	3	NOVEL colocalized	4.838172044373402
ACE	Pulmonary eosinophilia, not elsewhere classified	Respiratory	Immune-cell-enriched	0.0143344591817943	0.0179945789276512	0.987154142008244			6	3	NOVEL colocalized	4.836125804281001
MAPT	Benign neoplasm of meninges	Neoplasm	Immune-cell-enriched	7.0252816649699845	0.0244158668773977	0.9900665460229976			4	3	NOVEL colocalized	4.812532116347408
MAPT	Fracture of forearm	Other	Immune-cell-enriched	0.4758160178119393	0.0275930679824041	0.988185863404084			4	3	NOVEL colocalized	4.800025865216526
IL2RA	Allergic contact dermatitis	Dermatological	Cytokine/Interleukin	1.8205713723811063	0.0262555091695369	0.9799938325548864	0.8287217277843137	0.0127312601280098	4	3	NOVEL colocalized	4.796149743571112
IL2RA	Type1 diabetes, definitions combined, early onset	Metabolic/Endocrine	Cytokine/Interleukin	0.3511525754611003	0.0140779167703543	0.9105780310189434	0.0709464406397732	0.0228397338175071	4	3	NOVEL colocalized	4.780870352359956
ERBB3	Asthma (only as main-diagnosis) (more control exclusions)	Respiratory	Immune-cell-enriched	0.8152215108843451	0.0076655723393712	0.8572940181389537	0.6224404215264117	0.0088861903965051	7	2	NOVEL colocalized	4.7803851008592275
LTBR	Eustachian salpingitis and obstruction	Other	Cytokine/Interleukin	1.525347637709198	0.0258866214219995	0.962809816906208	0.0399189880590884	0.0169745094441512	4	1	NOVEL protein-confirmed	4.780194742420083
ERBB2	Inflammatory bowel disease, strict (require KELA)	Gastrointestinal	Immune-cell-enriched	0.3582990072910287	0.0043117249366509	0.8027906073690004			5	3	NOVEL colocalized	4.775860397856501
ACE	Atrial fibrillation and flutter	Cardiovascular	Immune-cell-enriched	1.7242700415098282	0.0106466317640309	0.8780526437434321			6	3	NOVEL colocalized	4.772610197074154
SERPING1	Asthma, unspecified (mode)	Respiratory	Complement/Coagulation	1.201771118921316	5.912261439068712e-05	0.9234596673323284	2.560464507084248e-09	0.9776543558268224	4	1	NOVEL colocalized	4.7691089412862855
SWAP70	Rheumatoid arthritis	Musculoskeletal	Immune-cell-enriched	0.8293131115972837	0.0329775060837499	0.9660752635970076	1.0546873683736637e-05	0.9770865502082442	5	0	NOVEL protein-confirmed	4.762431701770838
PSRC1	Myocardial infarction, strict	Cardiovascular	Immune-cell-enriched	0.8424693750152538	1.7662745744246235e-09	0.9938724024011936			3	0	NOVEL colocalized	4.744460758941518
ACE	Alzheimer’s disease, wide definition	Neurological/Psychiatric	Immune-cell-enriched	0.429980367299715	0.0477331505665214	0.9777564759228554			6	3	NOVEL colocalized	4.741992455848272
SERPING1	Asthma-related infections	Respiratory	Complement/Coagulation	1.2001862305230826	2.704023620526193e-05	0.8190259411546589	4.957556587470434e-10	0.9671681875028296	4	1	NOVEL colocalized	4.732623844956702
IL2RA	Prurigo nodularis	Dermatological	Cytokine/Interleukin	4.096357581424555	0.0446501036299299	0.9589376114016492	0.817596820365043	0.0131083837377387	4	3	NOVEL colocalized	4.728973117162763
CD226	First line medication for Crohn's disease	Medication/Other	CD/Leukocyte surface	0.9090529673430976	2.928043121846273e-07	0.9145220160210786			6	1	NOVEL colocalized	4.721206522346951
SWAP70	Autoimmune diseases	Haematological/Immune	Immune-cell-enriched	0.909884824390126	0.0002956953514305	0.983516494737832	2.1178794717968685e-08	0.991683469846638	5	0	NOVEL protein-confirmed	4.689347595313807
LTBR	Acute appendicitis, with complications	Gastrointestinal	Cytokine/Interleukin	0.6729664527059308	1.2258841846978812e-06	0.9859868619895306	0.3991931150186087	0.0194109658176062	4	1	NOVEL colocalized	4.668296973552154
FES	Cardiovascular diseases (excluding rheumatic etc)	Cardiovascular	Immune-cell-enriched	0.9062755457343252	4.892912436253924e-09	0.9964384392649548			5	0	NOVEL colocalized	4.658524950529154
ERBB2	Biological medication for rheuma	Medication/Other	Immune-cell-enriched	0.3155749448615021	0.0365182592455497	0.8657929346824056			5	3	NOVEL colocalized	4.653290921206067
ERBB2	Bronchitis	Respiratory	Immune-cell-enriched	1.431655840928499	0.0454180451615326	0.8505920327731245			5	3	NOVEL colocalized	4.619146345210426
CD226	Autoimmune diseases	Haematological/Immune	CD/Leukocyte surface	0.9174767266778808	1.6144828772561188e-06	0.9600302310818216			6	1	NOVEL colocalized	4.618423542406926
CRIM1	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Cardiovascular	Immune-cell-enriched	0.7797368781331545	2.2768791040641663e-06	0.951227271445819	0.8425117201603323	0.01632862622033	4	1	NOVEL colocalized	4.579759277165716
ERBB2	Allergic rhinitis	Respiratory	Immune-cell-enriched	2.098020089186588	0.049868121960196	0.8067837711623069			5	3	NOVEL colocalized	4.5672191685741055
ANXA2	Hypertension	Cardiovascular	Immune-cell-enriched	1.1095830136652372	0.0024185398060151	0.9966716957964176	0.0031922589105399	0.8686227686377915	1	3	NOVEL protein-confirmed	4.519961047855456
PSRC1	Statin medication	Cardiovascular	Immune-cell-enriched	0.7039508313011591	7.010880726430742e-169	0.9973050678362076			3	0	NOVEL colocalized	4.497305067836208
PSRC1	Hyperlipidaemia, other/unspecified	Metabolic/Endocrine	Immune-cell-enriched	0.7420390881468859	4.8653364785697575e-21	0.9964009330269596			3	0	NOVEL colocalized	4.49640093302696
PSRC1	Metabolic disorders	Metabolic/Endocrine	Immune-cell-enriched	0.8349096506159874	5.140656967694854e-31	0.995386424829336			3	0	NOVEL colocalized	4.495386424829336
PSRC1	Coronary angioplasty	Cardiovascular	Immune-cell-enriched	0.7920523353452155	8.679991926240882e-11	0.995277244700832			3	0	NOVEL colocalized	4.495277244700832
CD226	Asthma (more control exclusions)	Respiratory	CD/Leukocyte surface	0.9096152327132644	0.0019115467002553	0.9506153855284464			6	1	NOVEL colocalized	4.49433840301554
PSRC1	Disorders of lipoprotein metabolism and other lipidaemias	Metabolic/Endocrine	Immune-cell-enriched	0.7679385773321057	1.5945185199259564e-51	0.993015625749103			3	0	NOVEL colocalized	4.493015625749103
PSRC1	Coronary revascularization (ANGIO or CABG)	Cardiovascular	Immune-cell-enriched	0.764284417615305	9.71091607922972e-23	0.992658291673204			3	0	NOVEL colocalized	4.492658291673203
PSRC1	Pure hypercholesterolaemia	Metabolic/Endocrine	Immune-cell-enriched	0.7763434702622626	1.5289524208226586e-35	0.9919000488218944			3	0	NOVEL colocalized	4.491900048821894
PSRC1	Angina pectoris	Cardiovascular	Immune-cell-enriched	0.8345392103219034	3.571957931353529e-15	0.9908840344689392			3	0	NOVEL colocalized	4.490884034468939
PSRC1	Coronary artery bypass grafting	Cardiovascular	Immune-cell-enriched	0.7160821872163824	1.3669485404645376e-17	0.9885630379614776			3	0	NOVEL colocalized	4.488563037961478
PSRC1	Hard cardiovascular diseases	Cardiovascular	Immune-cell-enriched	0.8831715687216627	2.0159692622221078e-11	0.9853911631000072			3	0	NOVEL colocalized	4.485391163100007
SWAP70	Autoimmune diseases excluding thyroid diseases	Haematological/Immune	Immune-cell-enriched	0.8999551918425424	0.0043711449134845	0.9800908823186388	3.46683912244572e-07	0.9932936764226964	5	0	NOVEL protein-confirmed	4.451971841401242
PLAUR	Major coronary heart disease event	Cardiovascular	Immune-cell-enriched	1.5867849949293351	6.299007229359608e-06	0.8990723791980968	0.5772435028390417	0.0031423609959316	1	3	NOVEL colocalized	4.4392179578402615
CD226	Hypothyroidism, strict autoimmune	Metabolic/Endocrine	CD/Leukocyte surface	0.8872922660121374	7.328457522857267e-06	0.9005306736801945			6	1	NOVEL colocalized	4.427528158692078
IL1RL1	Lichen ruber planus, wide definition including periferal and oral lichen planus	Gastrointestinal	Cytokine/Interleukin	0.6458682842402356	2.0612234928923647e-05	0.943884244453802	2.149403412543549e-05	0.0038549089037205	3	2	NOVEL colocalized	4.381059227711969
IFNGR2	Psoriasis	Dermatological	Interferon axis	0.8757486654865103	0.0096148211343015	0.9737888978727246	0.09482726858387	0.019616270274652	2	3	NOVEL colocalized	4.377200655989513
IFNGR2	Hypertension	Cardiovascular	Interferon axis	1.0664311640761612	3.5370441860658856e-05	0.9849415186142572			2	3	NOVEL colocalized	4.375213421571028
