olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
476	CDAN1	Codanin-1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Congenital dyserythropoietic anemia, Disease variant, Hereditary hemolytic anemia	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
483	CDCP1	CUB domain-containing protein 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;NK-cell;Dendritic	0	1	Immune cell enhanced		CD markers, Predicted intracellular proteins, Predicted membrane proteins
484	CDH1	Cadherin-1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Group enriched	Cancer-related genes, Disease variant, Ectodermal dysplasia	Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters
486	CDH17	Cadherin-17	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched	Cancer-related genes	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
487	CDH2	Cadherin-2	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Group enriched	Cardiomyopathy, Disease variant, Intellectual disability	CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
489	CDH23	Cadherin-23	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enhanced	Deafness, Disease variant, Non-syndromic deafness, Retinitis pigmentosa, Usher syndrome	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
494	CDHR1	Cadherin-related family member 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	NK-cell	0	1	Immune cell enriched	Cone-rod dystrophy	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
497	CDK1	Cyclin-dependent kinase 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell;NK-cell	0	1	Immune cell enhanced	Cancer-related genes	Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters
499	CDKL5	Cyclin-dependent kinase-like 5	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Disease variant, Epilepsy, Intellectual disability	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins
500	CDKN1A	Cyclin-dependent kinase inhibitor 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enhanced	Cancer-related genes	Cancer-related genes, Human disease related genes, Predicted intracellular proteins
