olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
882	ECSCR	Endothelial cell-specific chemotaxis regulator	Predicted membrane proteins	Angiogenesis, Apoptosis, Chemotaxis, Differentiation	Developmental protein		Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
883	EDA2R	Tumor necrosis factor receptor superfamily member 27	Predicted membrane proteins	Differentiation	Developmental protein, Receptor		Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
884	EDAR	Tumor necrosis factor receptor superfamily member EDAR	Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins	Apoptosis, Differentiation	Developmental protein, Receptor	Disease variant, Ectodermal dysplasia	Group enriched	naive CD4 T-cell: 7.5;naive CD8 T-cell: 3.8	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	T-cell	0	0	2	1	Immune-cell-enriched
885	EDDM3B	Epididymal secretory protein E3-beta	Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted in male reproductive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
886	EDEM2	ER degradation-enhancing alpha-mannosidase-like protein 2	Predicted intracellular proteins	Unfolded protein response			Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
887	EDF1	Endothelial differentiation-related factor 1	Predicted intracellular proteins	Differentiation, Transcription, Transcription regulation	Activator, Calmodulin-binding, Developmental protein, DNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
888	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	Predicted secreted proteins	Cell adhesion	Developmental protein		Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
889	EDN1	Endothelin-1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins		Vasoactive, Vasoconstrictor	Cancer-related genes, Disease variant	Immune cell enriched	non-classical monocyte: 4.9	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
890	EDNRB	Endothelin receptor type B	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	Albinism, Deafness, Disease variant, FDA approved drug targets, Hirschsprung disease, Waardenburg syndrome	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
891	EEF1D	Elongation factor 1-delta	Plasma proteins, Predicted intracellular proteins	Protein biosynthesis, Transcription, Transcription regulation	DNA-binding, Elongation factor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
892	EFCAB14	EF-hand calcium-binding domain-containing protein 14	Predicted membrane proteins				Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
893	EFCAB2	Dynein regulatory complex protein 8	Predicted intracellular proteins				Immune cell enhanced	plasmacytoid DC: 5.4	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
894	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Growth factor	Disease variant, Glaucoma	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
895	EFHD1	EF-hand domain-containing protein D1	Predicted intracellular proteins				Immune cell enhanced	neutrophil: 2.2	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
896	EFNA1	Ephrin-A1	Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins	Angiogenesis		Cancer-related genes, Tumor suppressor	Group enriched	naive CD4 T-cell: 11.5;naive CD8 T-cell: 5.9	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
897	EFNA4	Ephrin-A4	Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins				Low immune cell specificity		Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
898	EFNB2	Ephrin-B2	Cancer-related genes, Plasma proteins, Predicted membrane proteins	Angiogenesis, Differentiation, Host-virus interaction, Neurogenesis	Developmental protein, Host cell receptor for virus entry, Receptor	Cancer-related genes	Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
899	EGF	Pro-epidermal growth factor	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins		Growth factor	Cancer-related genes, Disease variant, FDA approved drug targets, Primary hypomagnesemia	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
900	EGFL7	Epidermal growth factor-like protein 7	Predicted secreted proteins	Angiogenesis, Cell adhesion, Differentiation	Developmental protein		Group enriched	classical monocyte: 2.1;eosinophil: 3.5;intermediate monocyte: 6.2;non-classical monocyte: 5.6;plasmacytoid DC: 5.9	Group enriched	Secreted to extracellular matrix	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	1	0	2	1	Immune-cell-enriched
901	EGFLAM	Pikachurin	Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted - unknown location	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
902	EGFR	Epidermal growth factor receptor	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins, Transporters	Host-virus interaction	Developmental protein, Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene	Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1	0	0	0	Soluble receptor
903	EGLN1	Egl nine homolog 1	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Dioxygenase, Oxidoreductase	Congenital erythrocytosis, Disease variant, FDA approved drug targets	Immune cell enriched	neutrophil: 29.2	Lineage enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
904	EHBP1	EH domain-binding protein 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Endocytosis, Protein transport, Transport			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
905	EHD3	EH domain-containing protein 3	Plasma proteins, Predicted intracellular proteins	Cilium biogenesis/degradation, Protein transport, Transport			Group enriched	memory B-cell: 20.9;naive B-cell: 5.6	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	0	0	2	1	Immune-cell-enriched
906	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal	Essential proteins, Predicted intracellular proteins	Host-virus interaction, Protein biosynthesis	Initiation factor, RNA-binding, tRNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
907	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins	Antiviral defense, Host-virus interaction, Immunity, Innate immunity, Transcription, Transcription regulation	Kinase, RNA-binding, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase	Disease variant, Dystonia	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	1	0	Other immune-annotated
908	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Stress response, Translation regulation, Unfolded protein response	Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase	Diabetes mellitus, Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
909	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins	Host-virus interaction, Protein biosynthesis	Initiation factor	Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
910	EIF4B	Eukaryotic translation initiation factor 4B	Essential proteins, Predicted intracellular proteins	Protein biosynthesis	Initiation factor, RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
911	EIF4E	Eukaryotic translation initiation factor 4E	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Host-virus interaction, mRNA transport, Protein biosynthesis, Translation regulation, Transport	Initiation factor, RNA-binding	Autism, Autism spectrum disorder, Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
912	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	Cancer-related genes, Predicted intracellular proteins	Translation regulation	Protein synthesis inhibitor	Cancer-related genes	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
913	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Host-virus interaction, Protein biosynthesis, Translation regulation	Initiation factor, RNA-binding, Translational shunt	Cancer-related genes, Disease variant, Neurodegeneration, Parkinson disease, Parkinsonism	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
914	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	Plasma proteins, Predicted intracellular proteins	Protein biosynthesis, Translation regulation	Initiation factor, RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
915	EIF5	Eukaryotic translation initiation factor 5	Essential proteins, Predicted intracellular proteins	Protein biosynthesis	GTPase activation, Initiation factor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
916	EIF5A	Eukaryotic translation initiation factor 5A-1	Cancer-related genes, Disease related genes, Essential proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Protein biosynthesis	Elongation factor, RNA-binding	Cancer-related genes, Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
917	ELAC1	Zinc phosphodiesterase ELAC protein 1	Enzymes, Predicted intracellular proteins	tRNA processing	Endonuclease, Hydrolase, Nuclease		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
918	ELAVL4	ELAV-like protein 4	Predicted intracellular proteins	mRNA processing, mRNA splicing	RNA-binding		Immune cell enhanced	non-classical monocyte: 1.2	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
919	ELN	Elastin	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins			Williams-Beuren syndrome	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
920	ELOA	Elongin-A	Plasma proteins, Predicted intracellular proteins	Transcription, Transcription regulation			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
921	ELOB	Elongin-B	Essential proteins, Predicted intracellular proteins	Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
922	ENAH	Protein enabled homolog	Predicted intracellular proteins		Actin-binding		Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
923	ENDOU	Poly(U)-specific endoribonuclease	Predicted secreted proteins		Endonuclease, Hydrolase, Lyase, Nuclease, RNA-binding		Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
924	ENG	Endoglin	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins	Angiogenesis, Cell adhesion		Cancer-related genes, Disease variant	Group enriched	classical monocyte: 19.9;intermediate monocyte: 28.2;myeloid DC: 10.3;NK-cell: 7.6;non-classical monocyte: 22.2	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;NK-cell;Dendritic	0	0	2	1	Immune-cell-enriched
925	ENO1	Alpha-enolase	Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Glycolysis, Plasminogen activation, Transcription, Transcription regulation	DNA-binding, Lyase, Repressor	Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
926	ENO2	Gamma-enolase	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Glycolysis	Lyase	Cancer-related genes	Group enriched	gdT-cell: 9.9;MAIT T-cell: 11.4;memory B-cell: 6.8;memory CD4 T-cell: 13.1;memory CD8 T-cell: 11.4;naive B-cell: 4.5;naive CD4 T-cell: 8.2;naive CD8 T-cell: 8.6;neutrophil: 7.0;T-reg: 7.5	Group enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte;T-cell;B-cell	0	0	2	1	Immune-cell-enriched
927	ENO3	Beta-enolase	Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Glycolysis	Lyase	Disease variant, Glycogen storage disease	Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
928	ENOPH1	Enolase-phosphatase E1	Enzymes, Metabolic proteins, Predicted intracellular proteins	Amino-acid biosynthesis, Methionine biosynthesis	Hydrolase		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
929	ENOX2	Ecto-NOX disulfide-thiol exchanger 2	Predicted intracellular proteins	Biological rhythms, Electron transport, Growth regulation, Transport	Oxidoreductase		Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
930	ENPEP	Glutamyl aminopeptidase	CD markers, Enzymes, Plasma proteins, Predicted membrane proteins		Aminopeptidase, Hydrolase, Metalloprotease, Protease		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
931	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Chemotaxis, Lipid degradation, Lipid metabolism	Hydrolase	Cancer-related genes, Obesity	Immune cell enriched	basophil: 54.0	Lineage enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
932	ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Predicted membrane proteins		Hydrolase		Immune cell enhanced	gdT-cell: 14.9	Lineage enriched	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
933	ENPP6	Glycerophosphocholine cholinephosphodiesterase ENPP6	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid degradation, Lipid metabolism	Hydrolase		Not detected in immune cells		Not detected	Intracellular and membrane	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
934	ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism	Hydrolase		Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
935	ENSA	Alpha-endosulfine	Plasma proteins, Predicted intracellular proteins	Cell cycle, Cell division, Mitosis	Protein phosphatase inhibitor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
936	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2	Metabolic proteins, Predicted membrane proteins		Hydrolase		Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
937	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Hydrolase	Proto-oncogene	Group enriched	basophil: 18.4;eosinophil: 9.4	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
938	ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Hydrolase		Low immune cell specificity		Low lineage specificity	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
939	ENTR1	Endosome-associated-trafficking regulator 1	Predicted intracellular proteins	Cell cycle, Cell division, Cilium biogenesis/degradation, Protein transport, Transport			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
940	EP300	Histone acetyltransferase p300	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Biological rhythms, Cell cycle, Host-virus interaction, Transcription, Transcription regulation	Acyltransferase, Transferase	Cancer-related genes, Disease variant, Intellectual disability	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
941	EPB41L5	Band 4.1-like protein 5	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
942	EPCAM	Epithelial cell adhesion molecule	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins		Tumor antigen	Cancer-related genes, Disease variant, FDA approved drug targets, Hereditary nonpolyposis colorectal cancer	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
943	EPGN	Epigen	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Growth factor		Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
944	EPHA1	Ephrin type-A receptor 1	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins	Angiogenesis, Cell adhesion	Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes	Group enriched	memory CD4 T-cell: 1.9;naive CD4 T-cell: 3.8;naive CD8 T-cell: 2.9	Lineage enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	T-cell	0	0	2	1	Immune-cell-enriched
945	EPHA10	Ephrin type-A receptor 10	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		Kinase, Receptor, Transferase, Tyrosine-protein kinase	Deafness, Non-syndromic deafness	Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
946	EPHA2	Ephrin type-A receptor 2	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, RAS pathway related proteins	Angiogenesis, Apoptosis, Cell adhesion, Differentiation, Host-virus interaction	Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Cataract, Disease variant, FDA approved drug targets	Immune cell enriched	plasmacytoid DC: 9.4	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
947	EPHA4	Ephrin type-A receptor 4	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion, Neurogenesis	Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes	Group enriched	basophil: 1.6;gdT-cell: 1.7;MAIT T-cell: 1.7;memory B-cell: 1.3;memory CD4 T-cell: 2.5;memory CD8 T-cell: 1.7;naive B-cell: 1.2;naive CD4 T-cell: 1.0;NK-cell: 3.5;T-reg: 1.2	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Granulocyte;T-cell;B-cell;NK-cell	0	0	2	1	Immune-cell-enriched
948	EPHB4	Ephrin type-B receptor 4	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Angiogenesis	Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant	Immune cell enhanced	classical monocyte: 2.0;neutrophil: 4.3	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Granulocyte	0	0	2	1	Immune-cell-enriched
949	EPHB6	Ephrin type-B receptor 6	Predicted intracellular proteins, Predicted membrane proteins				Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
950	EPHX2	Bifunctional epoxide hydrolase 2	Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Aromatic hydrocarbons catabolism, Detoxification, Lipid metabolism	Hydrolase, Multifunctional enzyme		Group enriched	memory CD4 T-cell: 35.1;naive CD4 T-cell: 107.0;naive CD8 T-cell: 50.6;T-reg: 29.7	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
951	EPN1	Epsin-1	Plasma proteins, Predicted intracellular proteins	Endocytosis			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
952	EPO	Erythropoietin	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted secreted proteins	Erythrocyte maturation	Hormone	Cancer-related genes, Congenital erythrocytosis, Disease variant	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
953	EPPK1	Epiplakin	Plasma proteins, Predicted intracellular proteins				Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
954	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2	Disease related genes, Human disease related genes, Predicted intracellular proteins			Deafness, Non-syndromic deafness	Immune cell enhanced	plasmacytoid DC: 1.4	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
955	ERBB2	Receptor tyrosine-protein kinase erbB-2	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Transcription, Transcription regulation	Activator, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant, FDA approved drug targets	Immune cell enhanced	gdT-cell: 5.0	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	T-cell	0	0	2	1	Immune-cell-enriched
956	ERBB3	Receptor tyrosine-protein kinase erbB-3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters		Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant	Immune cell enhanced	basophil: 1.0	Lineage enriched	Secreted - unknown location	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Granulocyte	1	0	2	1	Immune-cell-enriched
