olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1726	MITD1	MIT domain-containing protein 1	Predicted intracellular proteins	Cell cycle, Cell division, Transport			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1727	MKI67	Proliferation marker protein Ki-67	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Cell cycle	DNA-binding	Cancer-related genes	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1728	MLLT1	Protein ENL	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Transcription, Transcription regulation	Activator	Cancer-related genes, Proto-oncogene	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1729	MLN	Promotilin	Predicted secreted proteins		Hormone		Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1730	MME	Neprilysin	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins		Hydrolase, Metalloprotease, Protease	Cancer-related genes, Charcot-Marie-Tooth disease, Disease variant, FDA approved drug targets, Neurodegeneration, Neuropathy, Spinocerebellar ataxia	Immune cell enriched	neutrophil: 139.9	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1731	MMP1	Interstitial collagenase	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Collagen degradation, Host-virus interaction	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1732	MMP10	Stromelysin-2	Cancer-related genes, Enzymes, Predicted secreted proteins	Collagen degradation	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1733	MMP12	Macrophage metalloelastase	Cancer-related genes, Enzymes, Predicted secreted proteins		Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1734	MMP13	Collagenase 3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Collagen degradation	Hydrolase, Metalloprotease, Protease	Cancer-related genes, Disease variant, Dwarfism	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1735	MMP15	Matrix metalloproteinase-15	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins		Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1736	MMP3	Stromelysin-1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Collagen degradation, Immunity, Innate immunity	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
1737	MMP7	Matrilysin	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Collagen degradation	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1738	MMP8	Neutrophil collagenase	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Collagen degradation	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Immune cell enhanced	non-classical monocyte: 1.7	Lineage enhanced	Secreted to extracellular matrix	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
1739	MMP9	Matrix metalloproteinase-9	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Collagen degradation	Hydrolase, Metalloprotease, Protease	Cancer-related genes	Immune cell enriched	neutrophil: 272.9	Lineage enriched	Secreted to blood	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
1740	MMUT	Methylmalonyl-CoA mutase, mitochondrial	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins		Isomerase	Disease variant, FDA approved drug targets	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1741	MN1	Transcriptional activator MN1	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins	Transcription, Transcription regulation	Activator, Developmental protein	Cancer-related genes, Disease variant, Intellectual disability, Tumor suppressor	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1742	MNAT1	CDK-activating kinase assembly factor MAT1	Essential proteins, Predicted intracellular proteins	Cell cycle, Transcription, Transcription regulation			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1743	MNDA	Myeloid cell nuclear differentiation antigen	Predicted intracellular proteins	Transcription, Transcription regulation	Activator, DNA-binding, Repressor		Immune cell enriched	neutrophil: 6034.1	Lineage enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1744	MOCS2	Molybdopterin synthase catalytic subunit	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Molybdenum cofactor biosynthesis	Transferase	Disease variant, FDA approved drug targets	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1745	MOG	Myelin-oligodendrocyte glycoprotein	Disease related genes, Human disease related genes, Predicted membrane proteins	Cell adhesion, Host-virus interaction	Host cell receptor for virus entry, Receptor	Disease variant	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
